"Nº";"Disciplina";"Dificuldade";"Pergunta";"A";"B";"C";"D";"Correta"
"230";"Matemática";"Difícil";"P(A∩B) com P(A|B)=0,3 e P(B)=0,4?";"0,7";"0,075";"0,12";"0,3";"C"
"231";"Matemática";"Difícil";"Solução de x² + 2x − 8 = 0?";"x=2 e x=−4";"x=4 e x=−2";"x=−2 e x=4";"x=2 e x=4";"A"
"232";"Matemática";"Difícil";"Integral de cos(x) dx?";"−cos(x)+C";"cos(x)+C";"−sen(x)+C";"sen(x)+C";"D"
"233";"Matemática";"Difícil";"Fórmula de Euler: e^(iπ) = ?";"1";"i";"0";"−1";"D"
"234";"Matemática";"Difícil";"[[1,2],[3,4]] × [[2,0],[1,1]] = ?";"[[4,2],[10,4]]";"[[2,0],[3,4]]";"[[3,1],[10,4]]";"[[4,3],[10,3]]";"A"
"235";"Matemática";"Difícil";"Variância de {2,4,4,4,5,5,7,9}?";"2,5";"3";"4";"2";"D"
"236";"Matemática";"Difícil";"Limite de sen(x)/x quando x→0?";"0";"Indefinido";"∞";"1";"D"
"237";"Matemática";"Difícil";"Quanto é C(n,0)?";"n";"n!";"0";"1";"D"
"238";"Matemática";"Difícil";"Derivada de x^n?";"x^(n−1)";"n⋅x";"n⋅x^(n−1)";"n^x";"C"
"239";"Matemática";"Difícil";"det(2A) se det(A)=3 (matriz 2×2)?";"6";"12";"9";"3";"B"
"240";"Matemática";"Difícil";"Integral de 1/x dx?";"x+C";"−1/x²+C";"1/(2x²)+C";"ln|x|+C";"D"
"241";"Matemática";"Difícil";"Elipse com a=5 e b=3?";"x²/25+y²/9=1";"x²/5+y²/3=1";"x²/9+y²/25=1";"x²/25−y²/9=1";"A"
"242";"Matemática";"Difícil";"Derivada de e^x?";"x⋅e^(x−1)";"1/e^x";"x";"e^x";"D"
"243";"Matemática";"Difícil";"Quanto é log₃(81)?";"3";"9";"5";"4";"D"
"244";"Matemática";"Difícil";"Soma PA n=10, a₁=1, aₙ=19?";"90";"100";"200";"110";"B"
"245";"Matemática";"Difícil";"Derivada de f(x) = x³ − 3x?";"3x−3";"x²−3";"3x²+3";"3x²−3";"D"
"246";"Matemática";"Difícil";"Quanto é (3+4i)(3−4i)?";"9−16";"0";"25";"7";"C"
"247";"Matemática";"Difícil";"Escolher 3 de 10 pessoas?";"30";"720";"120";"210";"D"
"248";"Matemática";"Difícil";"Período de f(x) = sen(2x)?";"4π";"π";"2π";"π/2";"B"
"249";"Matemática";"Difícil";"Integral de e^x dx?";"x⋅e^x+C";"e^(x+1)+C";"1/(e^x)+C";"e^x+C";"D"
"250";"Matemática";"Difícil";"Máximo de f(x) = −x²+4x−3?";"1";"3";"4";"2";"A"
"251";"Matemática";"Difícil";"Regra da cadeia para derivadas?";"f'(x)⋅g'(x)";"f'(g(x))⋅g'(x)";"f'(x)+g'(x)";"g'(f(x))";"B"
"252";"Matemática";"Difícil";"Limite de (1+1/n)^n quando n→∞?";"1";"π";"∞";"e";"D"
"253";"Matemática";"Difícil";"Distância entre (1,2) e (4,6)?";"5";"6";"3";"7";"A"
"254";"Matemática";"Difícil";"Diagonais de polígono n lados?";"n(n−1)/2";"n(n−3)";"n(n−2)/2";"n(n−3)/2";"D"
"255";"Matemática";"Difícil";"Inverso de [[1,2],[3,4]]?";"[[4,−2],[−3,1]]";"[[−2,1],[3/2,−1/2]]";"[[−4,2],[3,−1]]";"[[2,−1],[−3,1]]";"B"
"256";"Português";"Fácil";"O que é um substantivo?";"Indica ação";"Nomeia seres e coisas";"Qualifica";"Liga orações";"B"
"257";"Português";"Fácil";"Plural de 'cidadão'?";"cidadões";"cidadãos";"cidadons";"cidadoes";"B"
"258";"Português";"Fácil";"O que é um adjetivo?";"Substitui substantivo";"Indica ação";"Qualifica o substantivo";"Conecta orações";"C"
"259";"Português";"Fácil";"Pontuação de frase interrogativa?";"Ponto final";"Exclamação";"Interrogação";"Reticências";"C"
"260";"Português";"Fácil";"O que é sinônimo?";"Sentido oposto";"Sentido semelhante";"Sem sentido";"Palavras compostas";"B"
"261";"Português";"Fácil";"Sujeito de 'Os alunos estudaram muito'?";"estudaram";"muito";"Os alunos";"alunos muito";"C"
"262";"Português";"Fácil";"O que é um verbo?";"Nomeia seres";"Exprime ação ou estado";"Qualifica";"Indica lugar";"B"
"263";"Português";"Fácil";"Qual está escrito corretamente?";"meia-noite";"meiaNoite";"meia noite";"meia_noite";"A"
"264";"Português";"Fácil";"O que é antônimo?";"Sentido semelhante";"Sentido oposto";"Mesmo som";"Palavra composta";"B"
"265";"Português";"Fácil";"Feminino de 'ator'?";"atora";"atriz";"atrisa";"atrice";"B"
"266";"Português";"Fácil";"Qual palavra é pronome?";"Correr";"Bonito";"Ele";"Mesa";"C"
"267";"Português";"Fácil";"O que é uma vírgula?";"Pausa longa";"Pausa breve que separa";"Encerramento";"Continuidade";"B"
"268";"Português";"Fácil";"Diminutivo de 'casa'?";"casona";"casinha";"casarão";"casada";"B"
"269";"Português";"Fácil";"O que é uma preposição?";"Expressa ação";"Liga palavras ou orações";"Qualifica";"Substitui substantivo";"B"
"270";"Português";"Fácil";"Qual tem erro ortográfico?";"exceção";"acidente";"exercício";"excessão";"D"
"271";"Português";"Fácil";"O que é parágrafo?";"Letra maiúscula";"Bloco que desenvolve ideia";"Pontuação";"Um conectivo";"B"
"272";"Português";"Fácil";"Plural de 'mão'?";"mãos";"mãoes";"mãs";"mãs";"A"
"273";"Português";"Fácil";"O que significa 'conotação'?";"Sentido literal";"Sentido figurado";"Pontuação";"Figura de linguagem";"B"
"274";"Português";"Fácil";"Aumentativo de 'livro'?";"livrinho";"livrão";"livrete";"livretão";"B"
"275";"Português";"Fácil";"O que é texto narrativo?";"Descreve características";"Conta uma história";"Argumenta";"Instrui";"B"
"276";"Português";"Fácil";"Qual palavra é advérbio?";"Mesa";"Bonito";"Rapidamente";"Correr";"C"
"277";"Português";"Fácil";"O que é homonímia?";"Mesmo significado";"Mesmo som, sentidos diferentes";"Palavras derivadas";"Palavras compostas";"B"
"278";"Português";"Fácil";"Coletivo de 'peixes'?";"matilha";"cardume";"alcateia";"enxame";"B"
"279";"Português";"Fácil";"O que são reticências?";"Pausa definitiva";"Continuação ou suspense";"Delimitam expressões";"Ligam palavras";"B"
"280";"Português";"Fácil";"Plural de 'leão'?";"leãos";"leões";"leãoes";"leoes";"B"
"281";"Português";"Fácil";"O que é texto descritivo?";"Narra eventos";"Apresenta características";"Argumenta";"Instrui";"B"
"282";"Português";"Fácil";"Qual é substantivo abstrato?";"Mesa";"Cadeira";"Felicidade";"Rio";"C"
"283";"Português";"Fácil";"O que é uma conjunção?";"Nomeia";"Liga palavras ou orações";"Qualifica";"Intensifica";"B"
"284";"Português";"Fácil";"Qual é a grafia correta?";"nascer";"nascer";"nacer";"nasser";"A"
"285";"Português";"Fácil";"O que é texto dissertativo?";"Conta história";"Descreve lugares";"Defende ponto de vista";"Dá instruções";"C"
"286";"Português";"Fácil";"Qual alternativa está correta?";"ele veio onti";"ele veiu ontem";"ele veio ontem";"ele vejo ontem";"C"
"287";"Português";"Fácil";"O que é denotação?";"Sentido figurado";"Sentido literal";"Ironia";"Metáfora";"B"
"288";"Português";"Fácil";"Plural correto de 'lápis'?";"lápises";"lápiss";"lápis";"lápins";"C"
"289";"Português";"Fácil";"Qual palavra é verbo?";"Azul";"Correr";"Rápido";"Livro";"B"
"290";"Português";"Fácil";"O que é conjunção adversativa?";"Indica adição";"Indica contraste";"Indica causa";"Indica conclusão";"B"
"291";"Português";"Fácil";"Qual forma está correta?";"a gente vamos";"a gente vai";"a gente vão";"a gente foram";"B"
"292";"Português";"Fácil";"O que é texto instrucional?";"Conta história";"Descreve algo";"Argumenta";"Ensina passo a passo";"D"
"293";"Português";"Fácil";"Qual deriva de 'feliz'?";"infeliz";"flor";"correr";"mesa";"A"
"294";"Português";"Fácil";"Qual é escrita com acento?";"cafe";"agua";"voce";"pé";"D"
"295";"Português";"Fácil";"O que são aspas?";"Indicam pausa";"Delimitam citações e falas";"Só indicam ironia";"Conectam palavras";"B"
"296";"Português";"Fácil";"Masculino de 'vaca'?";"vacão";"boi";"vacuo";"bovino";"B"
"297";"Português";"Fácil";"O que é uma fábula?";"Poema sobre natureza";"Conto com lição moral";"Romance histórico";"Texto jornalístico";"B"
"298";"Português";"Fácil";"Qual contém um adjetivo?";"Correu rapidamente";"O cão esperto latiu";"Mesa de madeira";"Ela dançou";"B"
"299";"Português";"Médio";"O que é uma metáfora?";"Comparação com 'como'";"Comparação implícita";"Repetição de sons";"Exagero";"B"
"300";"Português";"Médio";"O que significa 'efêmero'?";"Eterno";"Passageiro, breve";"Muito grande";"Muito forte";"B"
"301";"Português";"Médio";"O que é oração subordinada substantiva?";"Modifica substantivo";"Exerce função de substantivo";"Coordenada";"Independente";"B"
"302";"Português";"Médio";"Figura em 'a vida é uma viagem'?";"Comparação";"Hipérbole";"Metáfora";"Metonímia";"C"
"303";"Português";"Médio";"O que é catacrese?";"Repetição de palavras";"Expressão desgastada (ex: pé da mesa)";"Comparação direta";"Ironia";"B"
"304";"Português";"Médio";"O que é sujeito desinencial?";"Expresso por substantivo";"Indicado pela terminação verbal";"Inexistente";"Indeterminado";"B"
"305";"Português";"Médio";"O que é metonímia?";"Sentido oposto";"Substituição por proximidade";"Comparação implícita";"Exagero";"B"
"306";"Português";"Médio";"Complemento de verbo transitivo direto?";"Adjunto adverbial";"Objeto direto";"Objeto indireto";"Predicativo";"B"
"307";"Português";"Médio";"O que é um oxímoro?";"Sinônimos juntos";"Termos contraditórios juntos";"Repetição de sons";"Comparação";"B"
"308";"Português";"Médio";"O que é a norma culta?";"Dialeto popular";"Variedade formal da língua";"Linguajar regional";"Jargão técnico";"B"
"309";"Português";"Médio";"O que é aliteração?";"Repetição de vogais";"Repetição de consoantes";"Comparação sonora";"Inversão de palavras";"B"
"310";"Português";"Médio";"Período composto por coordenação?";"Orações dependentes";"Orações independentes ligadas";"Uma única oração";"Oração subordinada";"B"
"311";"Português";"Médio";"O que é o vocativo?";"Complemento verbal";"Dirige-se a alguém";"Sujeito da oração";"Adjunto adnominal";"B"
"312";"Português";"Médio";"O que é eufemismo?";"Exagero irônico";"Suavização da expressão";"Comparação direta";"Repetição";"B"
"313";"Português";"Médio";"Diferença entre 'onde' e 'aonde'?";"São iguais";"Onde=posição, aonde=movimento";"Aonde é mais formal";"Onde é moderno";"B"
"314";"Português";"Médio";"O que é período simples?";"Muitas orações";"Uma única oração";"Sem sujeito";"Coordenado";"B"
"315";"Português";"Médio";"O que é hipérbole?";"Comparação direta";"Exagero expressivo";"Inversão de palavras";"Repetição";"B"
"316";"Português";"Médio";"O que é adjunto adnominal?";"Modifica o verbo";"Modifica o substantivo";"Complementa verbo";"Indica circunstância";"B"
"317";"Português";"Médio";"O que é ironia?";"Diz o que pensa";"Diz o oposto com crítica";"Uma comparação";"Uma metáfora";"B"
"318";"Português";"Médio";"O que é voz passiva analítica?";"Sujeito pratica";"Sujeito recebe a ação";"Ação sem sujeito";"Sujeito indeterminado";"B"
"319";"Português";"Médio";"O que é anáfora?";"Repetição no final";"Repetição no início das frases";"Figura semântica";"Inversão sintática";"B"
"320";"Português";"Médio";"O que é predicado verbal?";"Com verbo de ligação";"Núcleo é verbo de ação";"Sem verbo";"Com adjunto";"B"
"321";"Português";"Médio";"O que é crase?";"Fusão do 'a' preposição + artigo";"Uma pontuação";"Tipo de acento";"Figura de linguagem";"A"
"322";"Português";"Médio";"Diferença entre 'mal' e 'mau'?";"São sinônimos";"Mal=advérbio, mau=adjetivo";"Mau é advérbio";"São antônimos";"B"
"323";"Português";"Médio";"O que é personificação?";"Compara humanos";"Atribui características humanas a não humanos";"Repetição de sons";"Exagero";"B"
"324";"Português";"Médio";"O que é texto jornalístico informativo?";"Ficção";"Relata fatos objetivamente";"Argumenta";"Descreve personagens";"B"
"325";"Português";"Médio";"O que é silepse de gênero?";"Concordância pelo sentido";"Concordância normal";"Erro ortográfico";"Pontuação incorreta";"A"
"326";"Português";"Médio";"Função do travessão?";"Pausa breve";"Indica fala ou expressão intercalada";"Indica ironia";"Finaliza frases";"B"
"327";"Português";"Médio";"O que é texto épico?";"Texto lírico";"Narra feitos heroicos";"Texto argumentativo";"Descritivo";"B"
"328";"Português";"Médio";"O que é elipse?";"Repetição desnecessária";"Omissão de termo subentendido";"Figura sonora";"Inversão sintática";"B"
"329";"Português";"Médio";"O que é polissemia?";"Um único significado";"Múltiplos significados";"Sons iguais";"Palavras compostas";"B"
"330";"Português";"Médio";"Período composto por subordinação?";"Orações independentes";"Uma depende da outra";"Sem conectivo";"Coordenadas";"B"
"331";"Português";"Médio";"O que é predicativo do sujeito?";"Complemento verbal";"Caracteriza o sujeito";"Adjunto adverbial";"Objeto indireto";"B"
"332";"Português";"Médio";"O que são parônimos?";"Mesmo significado";"Grafia parecida, sentidos diferentes";"São antônimos";"São sinônimos";"B"
"333";"Português";"Médio";"O que é discurso direto?";"Narrador conta";"Fala reproduzida literalmente";"Mistura fala e narração";"Fala indireta";"B"
"334";"Português";"Médio";"O que é conjunção causal?";"Indica adição";"Indica a causa (porque, pois)";"Indica contraste";"Indica conclusão";"B"
"335";"Português";"Médio";"O que é sujeito indeterminado?";"Expresso claramente";"Existe mas não identificado";"Sem verbo";"Verbo sem sujeito";"B"
"336";"Português";"Médio";"O que é oração adverbial temporal?";"Indica causa";"Indica tempo da ação";"Indica condição";"Indica concessão";"B"
"337";"Português";"Médio";"O que é texto de propaganda?";"Texto neutro";"Linguagem persuasiva";"Texto narrativo";"Descritivo";"B"
"338";"Português";"Médio";"O que é zeugma?";"Repetição de palavras";"Omissão de palavra já dita";"Inversão de ordem";"Comparação";"B"
"339";"Português";"Médio";"O que é complemento nominal?";"Complementa verbo";"Complementa nome ou adjetivo";"Modifica advérbio";"Adjunto adverbial";"B"
"340";"Português";"Médio";"O que é oração adjetiva restritiva?";"Informação dispensável";"Restringe o substantivo";"Vem entre vírgulas";"Oração independente";"B"
"341";"Português";"Difícil";"O que é enunciado performativo?";"Frase declarativa";"Ao dito, realiza uma ação";"Pergunta retórica";"Frase exclamativa";"B"
"342";"Português";"Difícil";"O que é a teoria da relevância?";"Gramática normativa";"Equilíbrio entre esforço e efeito";"Teoria fonológica";"Morfologia";"B"
"343";"Português";"Difícil";"O que é o princípio cooperativo de Grice?";"Regra gramatical";"Máximas da comunicação eficiente";"Figura de linguagem";"Norma ortográfica";"B"
"344";"Português";"Difícil";"O que é análise do discurso?";"Gramática normativa";"Estuda produção e sentido dos discursos";"Análise morfológica";"Figuras de linguagem";"B"
"345";"Português";"Difícil";"O que é dialogismo em Bakhtin?";"Textos monológicos";"Texto permeado por outras vozes";"Técnica narrativa";"Gênero textual";"B"
"346";"Português";"Difícil";"O que é enálage?";"Inversão sintática";"Uso de forma gramatical por outra";"Elipse verbal";"Anacoluto";"B"
"347";"Português";"Difícil";"O que é anacoluto?";"Repetição de palavras";"Ruptura sintática na frase";"Omissão de termo";"Inversão";"B"
"348";"Português";"Difícil";"O que é intertextualidade?";"Texto sem referências";"Relação entre textos";"Figura sonora";"Gênero textual";"B"
"349";"Português";"Difícil";"O que é silepse de pessoa?";"Concordância de gênero";"Concordância pelo sentido da pessoa";"Elipse de sujeito";"Voz passiva";"B"
"350";"Português";"Difícil";"Diferença entre língua e discurso em Saussure?";"São equivalentes";"Língua=sistema, discurso=uso individual";"Discurso é coletivo";"Língua é individual";"B"
"351";"Português";"Difícil";"O que é hipotaxe?";"Coordenação";"Subordinação entre orações";"Justaposição";"Elipse";"B"
"352";"Português";"Difícil";"O que é polifonia textual?";"Uma única voz";"Múltiplas vozes no texto";"Gênero musical";"Figura de linguagem";"B"
"353";"Português";"Difícil";"O que é epanadiplose?";"Repetição no meio";"Frase começa e termina igual";"Inversão sintática";"Omissão de verbo";"B"
"354";"Português";"Difícil";"O que é coesão textual?";"Organização visual";"Liga as partes do texto";"O tema";"A argumentação";"B"
"355";"Português";"Difícil";"O que é coerência textual?";"Ligação gramatical";"Unidade lógica de sentido";"Pontuação correta";"Ortografia";"B"
"356";"Português";"Difícil";"O que é gradação (clímax)?";"Inversão de ideias";"Progressão crescente ou decrescente";"Repetição sonora";"Omissão";"B"
"357";"Português";"Difícil";"O que é antítese?";"Sinônimos em sequência";"Oposição de ideias";"Figura sonora";"Elipse";"B"
"358";"Português";"Difícil";"O que é gênero discursivo em Bakhtin?";"Estrutura gramatical";"Enunciados em situações recorrentes";"Figura de linguagem";"Estilo literário";"B"
"359";"Português";"Difícil";"O que é paronomásia?";"Uso de sinônimos";"Palavras parecidas com efeito";"Repetição idêntica";"Antítese";"B"
"360";"Português";"Difícil";"O que é funcionalismo linguístico?";"Gramática histórica";"Língua em uso com funções comunicativas";"Análise fonológica";"Morfologia";"B"
"361";"Português";"Difícil";"O que é quiasmo?";"Repetição simples";"Inversão cruzada (ABBA)";"Figura sonora";"Gradação";"B"
"362";"Português";"Difícil";"O que é intencionalidade textual?";"Clareza ortográfica";"Intenção do produtor no texto";"O tema central";"A pontuação";"B"
"363";"Português";"Difícil";"O que é a estilística?";"Gramática normativa";"Recursos expressivos da língua";"Fonologia";"Morfologia";"B"
"364";"Português";"Difícil";"O que é sinonímia contextual?";"Mesmo significado dicionarizado";"Substituíveis no contexto";"Sons iguais";"Antonímia";"B"
"365";"Português";"Difícil";"O que é acepção?";"O som de uma palavra";"Cada significado da palavra";"A etimologia";"A classificação";"B"
"366";"Português";"Difícil";"O que é paradoxo?";"Afirmações absurdas com verdade";"Erro lógico";"Comparação";"Metáfora";"A"
"367";"Português";"Difícil";"O que é estilo indireto livre?";"Discurso direto";"Narrador e personagem misturados";"Discurso indireto formal";"Monólogo";"B"
"368";"Português";"Difícil";"O que é derivação prefixal?";"Formação por sufixo";"Adição de prefixo ao radical";"Composição";"Justaposição";"B"
"369";"Português";"Difícil";"O que é isotopia?";"Mudança de tema";"Traços semânticos recorrentes";"Figura sonora";"Gênero textual";"B"
"370";"Português";"Difícil";"O que é texto multimodal?";"Só verbal";"Combina linguagens diferentes";"Texto poético";"Jornalístico";"B"
"371";"Português";"Difícil";"O que é pragmática linguística?";"Estudo dos sons";"Língua em contexto e intenções";"Morfologia";"Sintaxe";"B"
"372";"Português";"Difícil";"O que é zeugma nominal?";"Repetição do substantivo";"Omissão de substantivo subentendido";"Inversão do sujeito";"Pleonasmo";"B"
"373";"Português";"Difícil";"O que é 'stream of consciousness'?";"Narrador onisciente";"Pensamento livre do personagem";"Narrador personagem";"Discurso direto";"B"
"374";"Português";"Difícil";"O que é teoria dos protótipos?";"Classificação gramatical";"Categorização por exemplares típicos";"Estudo de metáforas";"Fonologia";"B"
"375";"Português";"Difícil";"O que é nominalização?";"Verbo em adjetivo";"Ações transformadas em substantivos";"Criar neologismos";"Inversão";"B"
"376";"Português";"Difícil";"O que é ambiguidade linguística?";"Texto sem sentido";"Mais de uma leitura possível";"Uso de metáforas";"Coerência";"B"
"377";"Português";"Difícil";"O que é pleonasmo vicioso?";"Repetição para ênfase";"Repetição redundante e desnecessária";"Figura de estilo";"Elipse";"B"
"378";"Português";"Difícil";"O que é registro linguístico?";"A ortografia";"Variedade conforme a situação";"Um dialeto";"Uma norma";"B"
"379";"Português";"Difícil";"O que é hibridismo lexical?";"Palavra latina pura";"Combina elementos de línguas diferentes";"Palavra popular";"Neologismo";"B"
"380";"Português";"Difícil";"O que é topos retórico?";"Tipo de pontuação";"Argumento para persuadir";"Figura sonora";"Gênero textual";"B"
"381";"Português";"Difícil";"O que é enunciação em Benveniste?";"O texto escrito";"Ato de produzir o enunciado";"Gramática normativa";"Morfologia";"B"
"382";"Português";"Difícil";"O que é heteroglossia em Bakhtin?";"Um único estilo";"Multiplicidade de vozes e estilos";"Figura de linguagem";"Gênero épico";"B"
"383";"Ciências";"Fácil";"Gás que humanos respiram para sobreviver?";"CO₂";"Hidrogênio";"Oxigênio";"Nitrogênio";"C"
"384";"Ciências";"Fácil";"Quantos planetas tem o Sistema Solar?";"7";"9";"8";"10";"C"
"385";"Ciências";"Fácil";"Maior órgão do corpo humano?";"Fígado";"Cérebro";"Coração";"Pele";"D"
"386";"Ciências";"Fácil";"O que a fotossíntese produz?";"Oxigênio a partir de luz";"Consome oxigênio";"Produz CO₂";"Decompõe matéria";"A"
"387";"Ciências";"Fácil";"Fórmula química da água?";"CO₂";"NaCl";"H₂O";"O₂";"C"
"388";"Ciências";"Fácil";"Quantos cromossomos têm as células humanas?";"23";"36";"46";"48";"C"
"389";"Ciências";"Fácil";"Planeta mais próximo do Sol?";"Vênus";"Terra";"Mercúrio";"Marte";"C"
"390";"Ciências";"Fácil";"O que é uma célula?";"Unidade básica da vida";"Tipo de vírus";"Partícula atômica";"Tecido muscular";"A"
"391";"Ciências";"Fácil";"O que é um átomo?";"Menor partícula de um elemento";"Tipo de molécula";"Tipo de célula";"Partícula subatômica";"A"
"392";"Ciências";"Fácil";"Camada mais externa da Terra?";"Manto";"Núcleo";"Crosta";"Astenosfera";"C"
"393";"Ciências";"Fácil";"Maior planeta do Sistema Solar?";"Saturno";"Urano";"Netuno";"Júpiter";"D"
"394";"Ciências";"Fácil";"O que é a gravidade?";"Força de repulsão";"Força de atração entre massas";"Energia elétrica";"Força magnética";"B"
"395";"Ciências";"Fácil";"Símbolo químico do ouro?";"Or";"Go";"Ag";"Au";"D"
"396";"Ciências";"Fácil";"O que é evaporação?";"Líquido → sólido";"Sólido → líquido";"Líquido → gás";"Gás → líquido";"C"
"397";"Ciências";"Fácil";"Quantos ossos tem o adulto?";"106";"206";"306";"406";"B"
"398";"Ciências";"Fácil";"O que é a clorofila?";"Pigmento verde das plantas";"Um mineral";"Proteína animal";"Vitamina";"A"
"399";"Ciências";"Fácil";"Símbolo químico do ferro?";"Fe";"Fr";"Fo";"Fi";"A"
"400";"Ciências";"Fácil";"O que é um ecossistema?";"Só os animais";"Seres vivos e ambiente interagindo";"Tipo de bioma";"Uma espécie";"B"
"401";"Ciências";"Fácil";"O que é respiração celular?";"O ato de respirar";"Produz energia nas células";"A fotossíntese";"A digestão";"B"
"402";"Ciências";"Fácil";"Planeta mais frio do Sistema Solar?";"Plutão";"Saturno";"Netuno";"Urano";"C"
"403";"Ciências";"Fácil";"O que são decompositores?";"Produtores de alimento";"Decompõem matéria morta";"Predadores";"Herbívoros";"B"
"404";"Ciências";"Fácil";"Símbolo químico do oxigênio?";"Ox";"O";"Og";"Oz";"B"
"405";"Ciências";"Fácil";"O que é o ciclo da água?";"Purificação da água";"Circulação por evaporação e precipitação";"Filtração industrial";"Poluição";"B"
"406";"Ciências";"Fácil";"O que é herbívoro?";"Come animais";"Come plantas";"Come tudo";"Fungo";"B"
"407";"Ciências";"Fácil";"Unidade básica do sistema nervoso?";"Músculo";"Hormônio";"Neurônio";"Osso";"C"
"408";"Ciências";"Fácil";"O que é metamorfose?";"Tipo de reprodução";"Transformação ao longo da vida";"Tipo de alimentação";"Migração";"B"
"409";"Ciências";"Fácil";"Símbolo químico do sódio?";"Sd";"So";"Na";"Sa";"C"
"410";"Ciências";"Fácil";"O que é cadeia alimentar?";"Dieta de um animal";"Cada ser serve de alimento ao próximo";"Tipo de ecossistema";"Teia de aranha";"B"
"411";"Ciências";"Fácil";"Estado da água a 0°C?";"Gasoso";"Líquido";"Sólido";"Plasma";"C"
"412";"Ciências";"Fácil";"O que é o DNA?";"Tipo de proteína";"Carrega informações genéticas";"Tipo de lipídio";"Enzima digestiva";"B"
"413";"Ciências";"Fácil";"O que é um mineral?";"Tipo de animal";"Substância inorgânica natural";"Planta fóssil";"Tipo de vitamina";"B"
"414";"Ciências";"Fácil";"Principal fonte de energia do corpo?";"Gorduras";"Vitaminas";"Proteínas";"Carboidratos";"D"
"415";"Ciências";"Fácil";"O que é o efeito estufa natural?";"Só prejudicial";"Mantém a Terra aquecida";"Tipo de poluição";"Buraco de ozônio";"B"
"416";"Ciências";"Fácil";"Gás produzido na fotossíntese?";"CO₂";"N₂";"O₂";"H₂";"C"
"417";"Ciências";"Fácil";"O que é um vírus?";"Ser unicelular";"Precisa de hospedeiro para reproduzir";"Uma bactéria";"Um fungo";"B"
"418";"Ciências";"Fácil";"O que é biodiversidade?";"Só habitats";"Variedade de formas de vida";"Diversidade climática";"Diversidade mineral";"B"
"419";"Ciências";"Fácil";"Principal gás da atmosfera?";"Oxigênio";"Argônio";"Nitrogênio";"CO₂";"C"
"420";"Ciências";"Fácil";"O que é energia solar?";"Energia do vento";"Energia do interior da Terra";"Energia da radiação do Sol";"Energia hídrica";"C"
"421";"Ciências";"Fácil";"O que é pasteurização?";"Tipo de fermentação";"Aquecimento para eliminar microrganismos";"Refrigeração";"Processo químico";"B"
"422";"Ciências";"Fácil";"O que é predação?";"Mutualismo";"Predador captura e come a presa";"Competição";"Parasitismo";"B"
"423";"Ciências";"Fácil";"Símbolo do carbono?";"Ca";"Co";"Cr";"C";"D"
"424";"Ciências";"Fácil";"O que é endotérmico?";"Sangue frio";"Regula a própria temperatura";"Animal aquático";"Animal noturno";"B"
"425";"Ciências";"Fácil";"O que é a camada de ozônio?";"Nuvem de poluição";"Protege da radiação UV";"O CO₂ da atmosfera";"A troposfera";"B"
"426";"Ciências";"Médio";"O que é a Lei de Lavoisier?";"Massa é criada";"Massa total é conservada";"Energia é conservada";"Volume é conservado";"B"
"427";"Ciências";"Médio";"O que é seleção natural?";"Seleção artificial";"Adaptados sobrevivem mais";"Mutação aleatória";"Migração";"B"
"428";"Ciências";"Médio";"O que é número atômico?";"Número de nêutrons";"Elétrons externos";"Número de prótons";"Massa do átomo";"C"
"429";"Ciências";"Médio";"O que é valência química?";"Massa molar";"Capacidade de combinação";"Número de prótons";"Carga elétrica";"B"
"430";"Ciências";"Médio";"O que é osmose?";"Difusão de sólidos";"Solvente por membrana semipermeável";"Transporte ativo";"Difusão de gases";"B"
"431";"Ciências";"Médio";"Fórmula do gás carbônico?";"CO";"CO₂";"C₂O";"CO₃";"B"
"432";"Ciências";"Médio";"O que são isótopos?";"Mesmo número de prótons, nêutrons diferentes";"Mesma massa";"Átomos carregados";"Moléculas iguais";"A"
"433";"Ciências";"Médio";"O que é mitose?";"Gera gametas";"Gera células-filhas idênticas";"Fusão de células";"Morte celular";"B"
"434";"Ciências";"Médio";"O que é meiose?";"Gera células somáticas";"Gera quatro células haploides";"Duplicação do DNA";"Fissão celular";"B"
"435";"Ciências";"Médio";"O que é a 2ª Lei da Termodinâmica?";"Energia conservada";"Entropia tende a aumentar";"Força e aceleração";"Pressão e volume";"B"
"436";"Ciências";"Médio";"O que é um catalisador?";"Substância consumida";"Acelera sem ser consumido";"Reagente principal";"Produto da reação";"B"
"437";"Ciências";"Médio";"O que é pH?";"% de hidrogênio";"Mede acidez de solução (0-14)";"Pressão hidrostática";"Potencial elétrico";"B"
"438";"Ciências";"Médio";"O que é a Lei de Ohm?";"V = IR";"F = ma";"E = mc²";"P = W/t";"A"
"439";"Ciências";"Médio";"O que é ligação covalente?";"Transferência de elétrons";"Compartilhamento de elétrons";"Força eletrostática";"Ligação metálica";"B"
"440";"Ciências";"Médio";"O que é efeito fotoelétrico?";"Luz criando calor";"Elétrons emitidos por luz";"Reflexão de luz";"Difração de ondas";"B"
"441";"Ciências";"Médio";"O que é endossimbiose?";"Competição";"Mitocôndrias vieram de bactérias internas";"Parasitismo";"Mutualismo";"B"
"442";"Ciências";"Médio";"O que é pressão osmótica?";"Pressão mecânica";"Impede fluxo por osmose";"Pressão atmosférica";"Hidrostática";"B"
"443";"Ciências";"Médio";"O que é especiação?";"Extinção";"Novas espécies se formam";"Mutação de genes";"Hibridação";"B"
